date,week,n_weeks,firm,sample,type_rv,type_lv,type_a,dem,n_dem,var_poll
2017-12-01,1,49,QnnpcUnvrsty,1297,TRUE,FALSE,FALSE,0.5813953488372093,754,0.0031679945172620578
2017-12-06,2,49,MaristColleg,939,TRUE,FALSE,FALSE,0.5747126436781609,540,0.00435713668940506
2017-12-08,2,49,QnnpcUnvrsty,1041,TRUE,FALSE,FALSE,0.5697674418604651,593,0.003918757315216763
2017-12-11,2,49,MnmthUnvrsty,611,TRUE,FALSE,FALSE,0.5862068965517241,358,0.006747216071371268
2017-12-14,3,49,NBCNws/WllSJ,655,TRUE,FALSE,FALSE,0.5617977528089888,368,0.006201605010765316
2017-12-15,3,49,QnnpcUnvrsty,1095,TRUE,FALSE,FALSE,0.5842696629213483,640,0.003759766088533212
2017-12-16,3,49,CNN/SSRS,844,TRUE,FALSE,FALSE,0.5957446808510638,503,0.0049197341695470884
2018-01-07,6,49,QnnpcUnvrsty,962,TRUE,FALSE,FALSE,0.5977011494252874,575,0.004323067784606246
2018-01-09,7,49,MaristColleg,939,TRUE,FALSE,FALSE,0.5348837209302325,502,0.004280687132472101
2018-01-14,7,49,QnnpcUnvrsty,1079,TRUE,FALSE,FALSE,0.5617977528089888,606,0.0037646443763218558
2018-01-15,7,49,NBCNws/WllSJ,704,TRUE,FALSE,FALSE,0.532608695652174,375,0.005706087932001552
2018-01-16,8,49,CNN/SSRS,849,TRUE,FALSE,FALSE,0.5268817204301075,447,0.004725083094593443
2018-01-17,8,49,ABCNws/WshnP,484,FALSE,TRUE,FALSE,0.574468085106383,278,0.008451943679216404
2018-01-21,8,49,QnnpcUnvrsty,1108,TRUE,FALSE,FALSE,0.5730337078651685,635,0.003688811644741499
2018-01-22,8,49,Fox News,822,TRUE,FALSE,FALSE,0.5365853658536586,441,0.0048923736015553144
2018-01-29,9,49,MnmthUnvrsty,654,TRUE,FALSE,FALSE,0.5108695652173914,334,0.006119099775160679
2018-01-29,9,49,IBD/TIPP,783,FALSE,FALSE,TRUE,0.5287356321839081,414,0.005125486037469071
2018-02-04,10,49,QnnpcUnvrsty,1186,TRUE,FALSE,FALSE,0.550561797752809,653,0.0034075265856764294
2018-02-06,11,49,MaristColleg,702,TRUE,FALSE,FALSE,0.5632183908045977,395,0.00579057533944752
2018-02-18,12,49,QnnpcUnvrsty,1137,TRUE,FALSE,FALSE,0.5824175824175825,662,0.0036162866967288784
2018-02-20,13,49,MaristColleg,696,TRUE,FALSE,FALSE,0.5411764705882353,377,0.005786369635694973
2018-02-22,13,49,CNN/SSRS,836,TRUE,FALSE,FALSE,0.5869565217391305,491,0.004933919061342883
2018-03-04,14,49,QnnpcUnvrsty,965,TRUE,FALSE,FALSE,0.5581395348837209,539,0.004201890737205708
2018-03-04,14,49,MnmthUnvrsty,644,TRUE,FALSE,FALSE,0.5494505494505495,354,0.006272534464475079
2018-03-12,15,49,NBCNws/WllSJ,837,TRUE,FALSE,FALSE,0.5555555555555556,465,0.004838709677419355
2018-03-18,16,49,QnnpcUnvrsty,1188,TRUE,FALSE,FALSE,0.532608695652174,633,0.0033813854411861048
2018-03-20,17,49,Fox News,882,TRUE,FALSE,FALSE,0.5287356321839081,466,0.004550176380202134
2018-03-20,17,49,MaristColleg,842,TRUE,FALSE,FALSE,0.5301204819277109,447,0.004767896394974779
2018-03-24,17,49,CNN/SSRS,858,TRUE,FALSE,FALSE,0.5319148936170213,456,0.004681076499258318
2018-04-08,19,49,QnnpcUnvrsty,1051,TRUE,FALSE,FALSE,0.5168539325842697,543,0.0038102284020514916
2018-04-10,20,49,ABCNws/WshnP,778,TRUE,FALSE,FALSE,0.5222222222222223,407,0.005151564103901323
2018-04-10,20,49,NBCNws/WllSJ,626,TRUE,FALSE,FALSE,0.5402298850574713,338,0.0064314118686697
2018-04-12,20,49,MaristColleg,688,TRUE,FALSE,FALSE,0.5301204819277109,365,0.005835129018268553
