Democrat	Republican	Other	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
45.0	42.0	2.0	11.0	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Likely Voters	3655		Internet	Nonpartisan	None
45.0	48.0	1.0	7.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06		Likely Voters	799	3.5	Live Phone	Nonpartisan	None
45.0	46.0	1.0	7.0	fox-26784	FOX	2016-11-03	2016-11-06		Likely Voters	1295	2.5	Live Phone	Nonpartisan	None
48.0	43.0	7.0	2.0	nbc-surveymonkey-26770	NBC/SurveyMonkey	2016-10-31	2016-11-06		Likely Voters	70194	1.0	Internet	Nonpartisan	None
45.0	46.0	2.0	7.0	franklin-pierce-rkm-boston-herald-26775	Franklin Pierce/RKM/Boston Herald	2016-11-01	2016-11-05		Likely Voters	1009	3.1	Live Phone	Nonpartisan	None
48.0	47.0	3.0	2.0	mcclatchy-marist-26734	McClatchy/Marist	2016-11-01	2016-11-03	If next week (November)'s election for Congress were held today, which party's candidate are you more likely to vote for in your district:	Likely Voters	940	3.2	Live Phone	Nonpartisan	None
42.0	41.0	4.0	14.0	ipsos-reuters-26679	Ipsos/Reuters	2016-10-29	2016-11-02	In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?	Likely Voters	1858	2.6	Internet	Nonpartisan	None
45.0	40.0	3.0	13.0	yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01		Registered Voters	1388	3.0	Internet	Nonpartisan	None
44.0	43.0		13.0	politico-morning-consult-26556	Politico/Morning Consult	2016-10-29	2016-10-30		Likely Voters	1772	2.0	Internet	Nonpartisan	None
43.0	39.0	2.0	16.0	yougov-economist-26504	YouGov/Economist	2016-10-22	2016-10-26		Registered Voters	1376	3.1	Internet	Nonpartisan	None
47.0	45.0	1.0	8.0	fox-26488	FOX	2016-10-22	2016-10-25		Likely Voters	1221	2.5	Live Phone	Nonpartisan	None
37.0	38.0	2.0	23.0	gqr-d-democracy-corps-26432	GQR (D-Democracy Corps)	2016-10-21	2016-10-24		Likely Voters	900	3.27	Live Phone	Sponsor	Dem
44.0	39.0	4.0	13.0	ipsos-reuters-26445	Ipsos/Reuters	2016-10-20	2016-10-24	In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?	Likely Voters	1170	2.9	Internet	Nonpartisan	None
50.0	47.0	1.0	3.0	cnn-26491	CNN	2016-10-20	2016-10-23		Likely Voters	779	3.5	Live Phone	Nonpartisan	None
42.0	39.0		18.0	politico-morning-consult-26342	Politico/Morning Consult	2016-10-19	2016-10-20		Likely Voters	1395	3.0	Internet	Nonpartisan	None
43.0	38.0	3.0	16.0	yougov-economist-26280	YouGov/Economist	2016-10-15	2016-10-18		Registered Voters	1085		Internet	Nonpartisan	None
47.0	43.0	1.0	8.0	bloomberg-selzer-26261	Bloomberg/Selzer	2016-10-14	2016-10-17		Adults	1328	3.1	Live Phone	Nonpartisan	None
43.0	39.0	4.0	15.0	ipsos-reuters-26266	Ipsos/Reuters	2016-10-13	2016-10-17	In 2016, if the election for U.S. Congress were held today, would you vote for the Democratic candidate or the Republican candidate for U.S. Congress in your district where you live?	Likely Voters	1190	3.2	Internet	Nonpartisan	None
