date,firm,dem
2019-11-13,Marist College,0.5287356321839081
2019-11-18,RealClear Opinion Research,0.5681818181818182
2019-11-18,YouGov,0.5411764705882353
2019-11-21,Winston Group,0.5568181818181818
2019-11-23,Morning Consult,0.5555555555555556
2019-11-25,YouGov,0.5340909090909091
2019-11-26,Data for Progress,0.5465116279069767
2019-12-02,YouGov,0.5340909090909091
2019-12-09,YouGov,0.5454545454545454
2019-12-16,McLaughlin & Associates,0.5108695652173914
2019-12-16,YouGov,0.5454545454545454
2019-12-16,NBC News/The Wall Street Journal,0.5384615384615384
2019-12-23,YouGov,0.5340909090909091
2019-12-29,Winston Group,0.5280898876404494
2019-12-30,YouGov,0.5555555555555556
2020-01-06,YouGov,0.5454545454545454
2020-01-11,Morning Consult,0.5185185185185185
2020-01-13,YouGov,0.5227272727272727
2020-01-20,YouGov,0.5057471264367817
2020-01-21,Winston Group,0.5232558139534884
2020-01-25,Morning Consult,0.5357142857142857
2020-01-27,YouGov,0.5517241379310345
2020-01-28,NBC News/The Wall Street Journal,0.532608695652174
2020-02-01,Winston Group,0.5340909090909091
2020-02-03,YouGov,0.5393258426966292
2020-02-08,Morning Consult,0.5232558139534884
2020-02-09,McLaughlin & Associates,0.5108695652173914
2020-02-10,YouGov,0.5454545454545454
2020-02-15,Marist College,0.5454545454545454
2020-02-15,Winston Group,0.550561797752809
2020-02-17,YouGov,0.5393258426966292
2020-02-22,Morning Consult,0.5357142857142857
2020-02-24,YouGov,0.5454545454545454
2020-02-26,YouGov,0.5604395604395604
2020-03-02,YouGov,0.5730337078651685
2020-03-06,CNN/SSRS,0.5463917525773195
2020-03-07,Morning Consult,0.5348837209302325
2020-03-09,YouGov,0.5280898876404494
2020-03-12,Winston Group,0.5340909090909091
2020-03-14,RMG Research,0.5517241379310345
2020-03-16,YouGov,0.5568181818181818
2020-03-21,Morning Consult,0.5476190476190477
2020-03-23,YouGov,0.5529411764705883
2020-03-25,McLaughlin & Associates,0.5161290322580645
2020-03-25,Firehouse Strategies/Øptimus,0.562200956937799
2020-03-29,Selzer & Co.,0.5494505494505495
2020-03-30,YouGov,0.5517241379310345
2020-04-01,Firehouse Strategies/Øptimus,0.5535714285714286
2020-04-02,Winston Group,0.5168539325842697
2020-04-04,Morning Consult,0.5476190476190477
2020-04-06,YouGov,0.5517241379310345
2020-04-07,Firehouse Strategies/Øptimus,0.5420792079207921
2020-04-08,Global Strategy Group,0.5384615384615384
2020-04-11,Firehouse Strategies/Øptimus,0.5700365408038977
2020-04-13,YouGov,0.5402298850574713
2020-04-15,Firehouse Strategies/Øptimus,0.5465393794749404
2020-04-17,RMG Research,0.5679012345679012
2020-04-18,McLaughlin & Associates,0.5054945054945055
2020-04-18,Firehouse Strategies/Øptimus,0.5407047387606319
